Kanji,JLPT,Kunyomi,Onyomi,Indonesian,Contoh 1,Contoh 2
黄,JLPT N2,"き, こ-","コウ, オウ",Kuning,黄色 (kiiro) - kuning; kuning tua,黄色い (kiiroi) - kuning
甘,JLPT N2,"あま.い, あま.える, あま.やかす, うま.い",カン,Manis; Membujuk,甘い (amai) - rasanya manis; manis,甘やかす (amayakasu) - memanjakan; memberi perlakuan buruk
臣,JLPT N2,,"シン, ジン",Uang muka; Subjek,大臣 (daijin) - menteri kabinet,総理大臣 (souridaijin) - perdana menteri (sebagai kepala pemerintahan kabinet); perdana menteri
浅,JLPT N2,あさ.い,セン,Dangkal; Superfisial,浅い (asai) - dangkal; superfisial,
掃,JLPT N2,は.く,"ソウ, シュ",Sapu; Sikat,掃く (haku) - menyapu; menyikat,清掃 (seisou) - pembersihan; pembersihan
雲,JLPT N2,"くも, -ぐも",ウン,Awan,雲 (kumo) - awan,
掘,JLPT N2,ほ.る,クツ,Menggali; Meneliti,掘る (horu) - menggali; membuat lubang,
捨,JLPT N2,す.てる,シャ,Buang; Singkirkan,捨てる (suteru) - membuang; menyingkirkan,四捨五入 (shishagonyuu) - pembulatan (pecahan); pembulatan setengah ke atas
軟,JLPT N2,"やわ.らか, やわ.らかい",ナン,Lembut,,
沈,JLPT N2,"しず.む, しず.める","チン, ジン",Tenggelam; Terendam,沈む (shizumu) - tenggelam; masuk ke bawah,
凍,JLPT N2,"こお.る, こご.える, こご.る, い.てる, し.みる",トウ,Beku; Mengental,冷凍 (reitou) - pembekuan; penyimpanan dingin,凍る (kooru) - membeku; menjadi beku
乳,JLPT N2,"ちち, ち",ニュウ,Susu; Payudara,牛乳 (gyuunyuu) - susu (sapi),
恋,JLPT N2,"こ.う, こい, こい.しい",レン,Romantis; Jatuh cinta,恋 (koi) - cinta (romantis),失恋 (shitsuren) - Cinta yang mengecewakan; patah hati
紅,JLPT N2,"べに, くれない, あか.い","コウ, ク",Merah tua; Merah pekat,紅葉 (kouyou) - warna musim gugur; warna-warna musim gugur,口紅 (kuchibeni) - lipstik
郊,JLPT N2,,コウ,Pinggiran kota; Daerah pinggiran,郊外 (kougai) - pinggiran kota; daerah terpencil,
腰,JLPT N2,こし,ヨウ,Pinggang; Pinggul,腰 (koshi) - punggung; punggung bawah,腰掛け (koshikake) - tempat duduk; bangku
炭,JLPT N2,すみ,タン,Arang; Batu bara,炭鉱 (tankou) - tambang batu bara; lubang batu bara,石炭 (sekitan) - batu bara
踊,JLPT N2,おど.る,ヨウ,Melompat; Menari,踊り (odori) - menari,踊る (odoru) - menari (awalnya tarian melompat)
冊,JLPT N2,ふみ,"サツ, サク",Jilid; Rak buku,,
勇,JLPT N2,いさ.む,ユウ,Keberanian; Semangatlah,勇気 (yuuki) - keberanian; kegagahan,
械,JLPT N2,かせ,カイ,Alat peraga; Belenggu,機械 (kikai) - mesin; mekanisme,
菜,JLPT N2,な,サイ,Sayuran; Lauk pendamping,お菜 (okazu) - lauk; okazu,野菜 (yasai) - sayuran
珍,JLPT N2,"めずら.しい, たから",チン,Langka; Aneh,珍しい (mezurashii) - tidak biasa; langka,
卵,JLPT N2,たまご,ラン,Telur; Ovum,卵 (tamago) - telur; telur ikan,
湖,JLPT N2,みずうみ,コ,Danau,湖 (mizuumi) - danau,
喫,JLPT N2,の.む,キツ,Mengonsumsi; Makan,喫茶店 (kissaten) - kedai kopi; ruang teh,
干,JLPT N2,"ほ.す, ほ.し-, -ぼ.し, ひ.る",カン,Kering; Panggang,干す (hosu) - untuk mengangin-anginkan; untuk mengeringkan,
虫,JLPT N2,むし,"チュウ, キ",Serangga; Kutu,虫 (mushi) - serangga; kutu,虫歯 (mushiba) - lubang gigi; kerusakan gigi
刷,JLPT N2,"す.る, -ず.り, -ずり, は.く",サツ,Mencetak; Cetak,刷る (suru) - untuk mencetak,印刷 (insatsu) - pencetakan
湯,JLPT N2,ゆ,トウ,Air panas; Mandi,湯 (yu) - air panas,湯気 (yuge) - uap; uap air
溶,JLPT N2,"と.ける, と.かす, と.く",ヨウ,Meleleh; Melarutkan,溶く (toku) - melarutkan (cat); mengocok (telur),溶岩 (yougan) - Lava
鉱,JLPT N2,あらがね,コウ,Mineral; Bijih,"鉱物 (koubutsu) - mineral  こうぶつ: ichi1, news1, nf19. 鉱物: ichi1, berita1, nf19.",炭鉱 (tankou) - tambang batu bara; lubang batu bara
涙,JLPT N2,なみだ,"ルイ, レイ",Air mata; Simpati,涙 (namida) - air mata; air mata,
匹,JLPT N2,ひき,ヒツ,Sama; Kepala,,
孫,JLPT N2,まご,ソン,Cucu; Keturunan,孫 (mago) - cucu,子孫 (shison) - keturunan; generasi penerus
鋭,JLPT N2,するど.い,エイ,Tajam; Ketajaman,鋭い (surudoi) - tajam (mata pisau); runcing,
枝,JLPT N2,えだ,シ,Ranting; Cabang,枝 (eda) - cabang; busur,
塗,JLPT N2,"ぬ.る, ぬ.り, まみ.れる",ト,Cat; Plester,塗る (nuru) - mengecat; memplester,
軒,JLPT N2,のき,ケン,Apartemen; Meja kasir untuk rumah,軒 (ken) - penghitung untuk bangunan (khususnya rumah),
毒,JLPT N2,,ドク,Racun; Virus,毒 (doku) - racun; zat beracun,消毒 (shoudoku) - disinfeksi; sterilisasi
叫,JLPT N2,さけ.ぶ,キョウ,Berteriak; Berseru,叫ぶ (sakebu) - berteriak; menangis,
拝,JLPT N2,"おが.む, おろが.む",ハイ,Beribadah; Memuji,拝む (ogamu) - Mengambil posisi berdoa; menyatukan telapak tangan dan jari kedua tangan,拝見 (haiken) - melihat; memperhatikan
氷,JLPT N2,"こおり, ひ, こお.る",ヒョウ,Es batu; Es,氷 (koori) - es,
乾,JLPT N2,"かわ.く, かわ.かす, ほ.す, ひ.る, いぬい","カン, ケン",Kekeringan; Kering,乾杯 (kanpai) - bersulang; minum (untuk merayakan atau menghormati sesuatu),乾く (kawaku) - untuk mengeringkan
棒,JLPT N2,,ボウ,Batang; Tongkat,棒 (bou) - tiang; batang,泥棒 (dorobou) - pencuri; perampok
祈,JLPT N2,いの.る,キ,Berdoa; Berharap,祈る (inoru) - berdoa; berharap,
拾,JLPT N2,ひろ.う,"シュウ, ジュウ",Mengambil; Mengumpulkan,拾う (hirou) - mengambil; menemukan,
粉,JLPT N2,"デシメートル, こ, こな",フン,Tepung; Bubuk,粉 (kona) - tepung; bubuk,
糸,JLPT N2,いと,シ,Benang,糸 (ito) - benang; tali,毛糸 (keito) - wol rajut; benang wol
綿,JLPT N2,わた,メン,Kapas,綿 (men) - kapas,木綿 (momen) - katun (bahan)
汗,JLPT N2,あせ,カン,Berkeringat; Menguap,汗 (ase) - keringat,
銅,JLPT N2,あかがね,ドウ,Tembaga,銅 (dou) - tembaga (Cu),銅貨 (douka) - koin tembaga
湿,JLPT N2,"しめ.る, しめ.す, うるお.う, うるお.す","シツ, シュウ",Lembap; Basah,湿気 (shikke) - kelembapan; kelembaban,湿る (shimeru) - menjadi basah; menjadi lembap
瓶,JLPT N2,かめ,ビン,Pot bunga; Botol,瓶 (bin) - botol; guci,花瓶 (kabin) - vas bunga
咲,JLPT N2,"さ.く, -ざき",ショウ,Mekar; Berbunga,咲く (saku) - untuk mekar,
召,JLPT N2,め.す,ショウ,Merayu; Menelepon,召し上がる (meshiagaru) - makan; minum,
缶,JLPT N2,かま,カン,Kaleng timah; Wadah,缶 (kan) - kaleng; timah,缶詰 (kanzume) - pengemasan (dalam kaleng); pengalengan
隻,JLPT N2,,セキ,Kapal; Penghitung untuk kapal,,
脂,JLPT N2,あぶら,シ,Lemak; Minyak,脂 (abura) - lemak; lemak sapi,
蒸,JLPT N2,"む.す, む.れる, む.らす","ジョウ, セイ",Uap; Panas,蒸発 (jouhatsu) - penguapan,蒸気 (jouki) - uap; uap air
肌,JLPT N2,はだ,キ,Tekstur; Kulit,肌 (hada) - kulit,肌着 (hadagi) - pakaian dalam; pakaian dalam
耕,JLPT N2,たがや.す,コウ,Membajak; Mengolah tanah,"耕地 (kouchi) - tanah subur  こうち: news2, nf26, spec2. isi: news2, nf26, spec2.",耕す (tagayasu) - untuk mengolah; untuk membajak
鈍,JLPT N2,"にぶ.い, にぶ.る, にぶ-, なま.る, なまく.ら",ドン,Membosankan; Lambat,鈍い (nibui) - tumpul (misalnya pisau); tidak tajam,
泥,JLPT N2,"どろ, なず.む","デイ, ナイ, デ, ニ",Lumpur; Rawa,泥 (doro) - lumpur; genangan air,泥棒 (dorobou) - pencuri; perampok
隅,JLPT N2,すみ,グウ,Sudut; Pojok,隅 (sumi) - sudut; ceruk,
灯,JLPT N2,"ひ, ほ-, ともしび, とも.す, あかり",トウ,Lampu; Sebuah cahaya,灯 (hi) - cahaya; lampu,灯台 (toudai) - mercu suar
辛,JLPT N2,"から.い, つら.い, -づら.い, かのと",シン,Pedas; Pahit,辛い (karai) - pedas; panas,
磨,JLPT N2,"みが.く, す.る",マ,Menggiling; Memoles,磨く (migaku) - Memoles; mengkilapkan,歯磨き (hamigaki) - menyikat gigi; menggosok gigi
麦,JLPT N2,むぎ,バク,Jelai; Gandum,蕎麦 (soba) - gandum hitam (Fagopyrum esculentum),小麦 (komugi) - gandum
姓,JLPT N2,,"セイ, ショウ",Nama belakang,姓 (sei) - nama keluarga; nama marga,
筒,JLPT N2,つつ,トウ,Silinder; Pipa,水筒 (suitou) - tempat minum; termos,封筒 (fuutou) - amplop
鼻,JLPT N2,はな,ビ,Hidung; Moncong,鼻 (hana) - hidung,
粒,JLPT N2,つぶ,リュウ,Butiran; Tetesan,粒 (tsubu) - butiran; manik-manik,
詞,JLPT N2,ことば,シ,Jenis kata; Kata-kata,副詞 (fukushi) - kata keterangan,名詞 (meishi) - kata benda
胃,JLPT N2,,イ,Perut; Lambung,,
畳,JLPT N2,"たた.む, たたみ, かさ.なる","ジョウ, チョウ",Tikar tatami; Meja untuk tikar tatami,畳 (tatami) - tikar tatami; penutup lantai jerami Jepang,"畳む (tatamu) - melipat (pakaian, payung)"
机,JLPT N2,つくえ,キ,Meja; Meja,机 (tsukue) - meja,
膚,JLPT N2,はだ,フ,Kulit; Tubuh,皮膚 (hifu) - kulit,
濯,JLPT N2,"すす.ぐ, ゆす.ぐ",タク,Cucian; Cuci,洗濯 (sentaku) - mencuci; pakaian,洗濯する (sentakusuru) - mencuci; pakaian
塔,JLPT N2,,トウ,Pagoda; Menara,塔 (tou) - menara; puncak menara,
沸,JLPT N2,"わ.く, わ.かす",フツ,Mendidih; Bergejolak,沸く (waku) - menjadi panas (misalnya air); mendidih,沸かす (wakasu) - mendidih; memanaskan
灰,JLPT N2,はい,カイ,Abu; Jus asam,灰 (hai) - abu; abu,灰色 (haiiro) - abu-abu; kelabu
菓,JLPT N2,,カ,Permen; Kue,菓子 (kashi) - kue kering; penganan,お菓子 (okashi) - permen; manisan
帽,JLPT N2,"ずきん, おお.う","ボウ, モウ",Topi; Penutup Kepala,帽子 (boushi) - topi; penutup kepala,
枯,JLPT N2,"か.れる, か.らす",コ,Layu; Mati,枯れる (kareru) - layu (pada tanaman); hancur,
涼,JLPT N2,"すず.しい, すず.む, すず.やか, うす.い, ひや.す, まことに",リョウ,Menyegarkan; Nyaman dan sejuk,涼む (suzumu) - untuk mendinginkan diri; untuk mendinginkan badan,涼しい (suzushii) - sejuk; menyegarkan
舟,JLPT N2,"ふね, ふな-, -ぶね",シュウ,Perahu; Kapal,,
貝,JLPT N2,かい,バイ,Kerang,貝 (kai) - cangkang; kerang,
符,JLPT N2,,フ,Token; Tanda,符号 (fugou) - tanda; lambang,切符 (kippu) - tiket
憎,JLPT N2,"にく.む, にく.い, にく.らしい, にく.しみ",ゾウ,Benci; Menjijikkan,憎い (nikui) - menjijikkan; keji,憎む (nikumu) - membenci; merasa jijik
皿,JLPT N2,さら,ベイ,Hidangan; Satu porsi,皿 (sara) - piring; hidangan,灰皿 (haizara) - asbak
肯,JLPT N2,がえんじ.る,コウ,Kesepakatan; Persetujuan,,
燥,JLPT N2,はしゃ.ぐ,ソウ,Kering; Mengering,,
畜,JLPT N2,,チク,Hewan ternak; unggas dan hewan peliharaan,牧畜 (bokuchiku) - peternakan,
挟,JLPT N2,"はさ.む, はさ.まる, わきばさ.む, さしはさ.む","キョウ, ショウ",Jepit; Di antara,挟む (hasamu) - untuk menyela; untuk menahan di antara,挟まる (hasamaru) - terjebak di antara; terperangkap di dalam
曇,JLPT N2,くも.る,ドン,Cuaca berawan; Awan tebal,曇り (kumori) - mendung; cuaca berawan,曇る (kumoru) - menjadi berawan; diselimuti awan
滴,JLPT N2,"しずく, したた.る",テキ,Tetes; Jatuh,水滴 (suiteki) - setetes air,
伺,JLPT N2,うかが.う,シ,Berikan penghormatan; Kunjungi,伺う (ukagau) - bertanya; menanyakan,
